"date","server name","server id","idle latency","idle jitter","packet loss","download","upload","download bytes","upload bytes","share url","download server count","download latency","download latency jitter","download latency low","download latency high","upload latency","upload latency jitter","upload latency low","upload latency high","idle latency low","idle latency high"
2023-11-11T17:00:00-0600,"Cox - Omaha - Omaha, NE","16621","12.5786","1.703","0","115988823","14188792","1046882280","59062824","https://www.speedtest.net/result/c/8cabc38a-d575-4d08-b23e-40c2e78f6d97","1","22.4639","5.72144","11.557","46.307","18.5573","9.7168","8.934","161.813","7.438","13.516"
2023-11-11T18:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.9807","0.781","0","109029791","14315099","644682904","106429124","https://www.speedtest.net/result/c/5534a4b8-2e6d-4a97-9782-be533ad09dd5","1","18.7867","6.10207","5.985","50.252","26.2966","6.813","18.259","214.084","12.344","14.326"
2023-11-11T19:00:00-0600,"Cox - Omaha - Omaha, NE","16621","11.6565","1.71025","0","111939916","10354010","1080067852","66716496","https://www.speedtest.net/result/c/a4539ef7-2592-4fab-8b88-3b3bd11abbbf","1","16.3315","5.91257","7.06","40.189","396.615","123.097","16.018","633.906","11.344","14.491"
2023-11-11T19:22:16-0600,"Cox - Omaha - Omaha, NE","16621","12.5805","3.68875","0","78781437","9515533","903488288","76549472","https://www.speedtest.net/result/c/52061f90-b353-4895-bd9f-7ff73e703016","1","13.23","10.3203","4.782","232.616","406.16","50.7168","12.084","593.289","9.975","16.06"
2023-11-11T20:00:00-0600,"Cox - Omaha - Omaha, NE","16621","12.4612","3.2095","0","39214561","14376090","558053648","142379664","https://www.speedtest.net/result/c/8f22a6a5-548f-48f8-9809-fda98ba62417","1","13.5249","8.76899","5.522","230.229","31.2595","7.81566","10.026","223.994","7.618","13.125"
2023-11-11T20:18:14-0600,"Cox - Omaha - Omaha, NE","16621","14.0643","0.834","0","43489799","14298470","610266304","128027612","https://www.speedtest.net/result/c/4fae706a-bbc3-4e70-9bf8-43c7bd532166","1","13.3949","9.90467","5.505","433.216","35.6288","15.9213","10.042","269.262","13.368","14.866"
2023-11-11T20:34:46-0600,"Cox - Omaha - Omaha, NE","16621","13.2486","1.08775","0","47115785","14300847","685854635","120173700","https://www.speedtest.net/result/c/2469d62c-6dd7-4e30-a1d3-01042416bcfd","1","12.5986","8.3973","4.841","266","29.6991","9.3696","10.205","273.553","12.165","14.391"
2023-11-11T21:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.702","10.977","0","32210069","14286269","509665056","104632594","https://www.speedtest.net/result/c/916ee674-22c3-44f8-990f-a2f28b07c719","1","13.7988","5.98078","4.874","55.343","33.3866","26.3185","20.838","493.933","7.091","29.881"
2023-11-11T21:30:00-0600,"Cox - Omaha - Omaha, NE","16621","14.1804","1.52875","0","36663266","14303330","568096736","58403024","https://www.speedtest.net/result/c/8229fd3c-ef06-47d7-9c17-98aee2af6855","1","14.595","8.64635","5.323","45.49","39.2686","22.8632","13.296","252.455","12.926","14.933"
2023-11-11T22:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.1879","1.36275","0","80003340","14298771","1132103496","101740796","https://www.speedtest.net/result/c/81d6ff14-ea0a-4650-a922-c5a602989ce0","1","14.5417","6.85","5.439","46.597","31.1348","8.14293","15.791","143.049","13.647","16.188"
